"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 11, 2021","35,806.40","36,218.25","36,227.55","35,531.35","200.20M","-0.63%"
"Aug 10, 2021","36,034.10","35,954.55","36,317.00","35,890.50","201.19M","0.01%"
"Aug 09, 2021","36,028.95","35,824.20","36,159.85","35,612.30","166.87M","0.61%"
"Aug 06, 2021","35,809.25","35,875.80","36,080.10","35,700.45","230.46M","-0.07%"
"Aug 05, 2021","35,834.75","36,093.95","36,115.45","35,661.30","312.00M","-0.54%"
"Aug 04, 2021","36,028.05","35,388.15","36,219.80","35,313.00","363.14M","2.33%"
"Aug 03, 2021","35,207.45","34,660.75","35,238.45","34,649.20","254.95M","1.43%"
"Aug 02, 2021","34,710.00","34,760.90","34,861.75","34,588.25","241.61M","0.36%"
"Jul 30, 2021","34,584.35","34,698.75","34,738.75","34,445.40","174.18M","-0.31%"
"Jul 29, 2021","34,691.50","34,740.30","34,778.15","34,495.20","196.00M","0.46%"
"Jul 28, 2021","34,532.90","34,839.45","34,841.55","34,115.20","174.75M","-0.76%"
"Jul 27, 2021","34,797.45","35,029.30","35,186.10","34,713.55","173.04M","-0.44%"
"Jul 26, 2021","34,949.70","34,947.85","35,138.20","34,669.55","179.13M","-0.24%"
"Jul 23, 2021","35,034.40","34,748.35","35,088.00","34,404.75","200.26M","1.03%"
"Jul 22, 2021","34,677.30","34,774.55","34,989.10","34,557.85","164.04M","0.76%"
"Jul 20, 2021","34,415.45","34,791.15","34,894.15","34,357.35","159.71M","-1.89%"
"Jul 19, 2021","35,079.20","35,070.50","35,347.05","34,899.20","130.90M","-1.88%"
"Jul 16, 2021","35,751.80","35,977.95","35,977.95","35,674.75","124.90M","-0.43%"
"Jul 15, 2021","35,907.65","35,757.45","35,985.25","35,625.70","116.40M","0.67%"
"Jul 14, 2021","35,668.25","35,585.85","35,804.05","35,434.75","103.10M","-0.01%"
"Jul 13, 2021","35,673.40","35,480.05","35,727.85","35,340.70","134.15M","1.35%"
"Jul 12, 2021","35,198.90","35,285.05","35,394.30","35,060.35","183.09M","0.36%"
"Jul 09, 2021","35,071.95","35,163.75","35,225.20","34,859.90","145.26M","-0.57%"
"Jul 08, 2021","35,274.10","35,603.25","35,811.00","35,134.65","169.18M","-1.39%"
"Jul 07, 2021","35,771.30","35,550.60","35,795.75","35,427.65","151.48M","0.54%"
"Jul 06, 2021","35,579.15","35,173.60","35,807.45","35,165.55","179.45M","1.04%"
"Jul 05, 2021","35,212.00","35,010.95","35,234.30","34,926.40","164.35M","1.16%"
"Jul 02, 2021","34,809.90","34,728.10","34,894.45","34,632.60","165.62M","0.36%"
"Jul 01, 2021","34,684.00","34,866.00","34,917.65","34,650.95","164.00M","-0.25%"
"Jun 30, 2021","34,772.20","35,001.90","35,214.90","34,730.45","249.54M","-0.68%"
"Jun 29, 2021","35,010.30","35,320.45","35,337.45","34,913.70","266.28M","-0.99%"
"Jun 28, 2021","35,359.45","35,488.20","35,576.95","35,236.45","320.20M","-0.01%"
"Jun 25, 2021","35,364.65","34,916.65","35,491.95","34,915.85","236.85M","1.54%"
"Jun 24, 2021","34,827.00","34,687.70","34,935.30","34,592.35","210.38M","0.73%"
"Jun 23, 2021","34,574.00","34,911.85","34,937.65","34,525.45","315.41M","-0.49%"
"Jun 22, 2021","34,745.00","35,084.90","35,281.90","34,664.35","264.37M","-0.36%"
"Jun 21, 2021","34,871.30","34,109.45","34,927.65","33,937.50","260.36M","0.91%"
"Jun 18, 2021","34,558.00","34,735.15","34,787.40","33,908.95","274.82M","-0.14%"
"Jun 17, 2021","34,605.40","34,619.80","34,882.40","34,458.10","199.24M","-1.14%"
"Jun 16, 2021","35,003.50","35,196.25","35,380.00","34,916.20","157.93M","-0.69%"
"Jun 15, 2021","35,247.75","35,038.05","35,317.40","34,917.90","170.04M","0.85%"
"Jun 14, 2021","34,950.60","34,936.55","34,995.15","34,374.35","311.60M","-0.28%"
"Jun 11, 2021","35,047.40","35,324.65","35,344.00","34,891.30","192.13M","-0.24%"
"Jun 10, 2021","35,131.20","34,903.60","35,165.65","34,734.40","324.66M","0.95%"
"Jun 09, 2021","34,800.50","35,114.25","35,402.45","34,641.20","315.89M","-0.81%"
"Jun 08, 2021","35,085.30","35,433.80","35,449.50","34,962.65","214.83M","-1.01%"
"Jun 07, 2021","35,443.65","35,460.80","35,545.85","35,338.55","253.22M","0.43%"
"Jun 04, 2021","35,291.65","35,657.85","35,810.90","35,176.15","282.78M","-1.00%"
"Jun 03, 2021","35,649.00","35,536.45","35,723.70","35,413.00","421.77M","0.78%"
"Jun 02, 2021","35,373.75","35,271.60","35,415.85","35,070.30","591.36M","0.10%"
"Jun 01, 2021","35,337.20","35,639.75","35,713.90","35,241.20","323.92M","-0.53%"
"May 31, 2021","35,526.65","35,097.45","35,584.30","34,930.10","379.88M","1.10%"
"May 28, 2021","35,141.45","35,345.65","35,436.65","34,977.20","642.61M","0.13%"
"May 27, 2021","35,095.05","34,664.20","35,220.80","34,529.70","830.84M","1.18%"
"May 26, 2021","34,684.20","34,757.15","34,897.95","34,462.50","375.09M","0.06%"
"May 25, 2021","34,662.00","35,095.00","35,125.85","34,410.40","404.48M","-0.81%"
"May 24, 2021","34,943.60","34,869.30","35,216.10","34,528.30","747.17M","0.97%"
"May 21, 2021","34,606.90","33,559.80","34,694.45","33,559.75","670.63M","3.82%"
"May 20, 2021","33,334.55","33,692.55","33,833.70","33,273.95","554.73M","-1.04%"
"May 19, 2021","33,685.20","33,717.10","33,959.30","33,608.25","363.82M","-0.70%"
"May 18, 2021","33,922.40","33,893.10","34,142.85","33,730.45","437.18M","1.38%"
"May 17, 2021","33,459.25","32,437.85","33,506.90","32,318.70","503.78M","4.01%"
"May 14, 2021","32,169.55","32,495.15","32,622.65","32,115.50","430.34M","-0.87%"
"May 12, 2021","32,452.30","32,717.65","32,747.70","32,352.30","657.84M","-1.28%"
"May 11, 2021","32,872.20","32,640.95","33,154.30","32,611.70","465.15M","-0.82%"
"May 10, 2021","33,142.40","33,175.30","33,297.60","33,028.15","416.22M","0.72%"
"May 07, 2021","32,904.50","33,041.65","33,259.15","32,771.35","285.95M","0.23%"
"May 06, 2021","32,827.80","32,900.75","32,956.35","32,564.00","303.92M","0.13%"
"May 05, 2021","32,783.70","32,577.10","32,862.15","32,068.55","405.53M","1.59%"
"May 04, 2021","32,270.35","32,610.40","33,011.55","32,191.40","786.85M","-0.60%"
"May 03, 2021","32,465.75","32,368.55","32,566.60","31,906.55","351.01M","-0.96%"
"Apr 30, 2021","32,781.80","33,112.40","33,455.25","32,663.40","400.63M","-2.77%"
"Apr 29, 2021","33,714.50","33,901.60","34,287.00","33,304.60","429.54M","-0.02%"
"Apr 28, 2021","33,722.80","32,865.50","33,777.70","32,840.30","399.92M","3.02%"
"Apr 27, 2021","32,735.35","32,228.95","32,807.10","32,152.95","342.32M","1.43%"
"Apr 26, 2021","32,275.15","32,316.65","32,603.70","32,144.80","344.63M","1.74%"
"Apr 23, 2021","31,722.30","31,490.60","32,148.40","31,377.15","377.14M","-0.19%"
"Apr 22, 2021","31,782.60","30,763.50","31,834.50","30,555.25","368.43M","2.15%"
"Apr 20, 2021","31,112.70","31,568.95","31,731.65","30,891.00","337.22M","-0.31%"
"Apr 19, 2021","31,208.40","30,993.45","31,304.30","30,405.65","419.36M","-2.40%"
"Apr 16, 2021","31,977.45","32,161.45","32,325.15","31,911.90","317.53M","-0.42%"
"Apr 15, 2021","32,112.85","31,929.10","32,187.05","31,406.40","408.65M","1.07%"
"Apr 13, 2021","31,771.60","30,901.80","31,885.45","30,722.85","441.40M","3.18%"
"Apr 12, 2021","30,792.00","31,637.90","31,698.05","30,520.30","575.53M","-5.10%"
"Apr 09, 2021","32,448.05","32,636.90","32,972.15","32,329.95","398.60M","-1.02%"
"Apr 08, 2021","32,782.85","33,154.20","33,306.80","32,704.75","279.33M","-0.63%"
"Apr 07, 2021","32,991.20","32,529.70","33,191.70","32,141.55","341.13M","1.51%"
"Apr 06, 2021","32,501.35","32,915.65","33,007.65","32,338.40","300.87M","-0.54%"
"Apr 05, 2021","32,678.85","33,649.15","33,697.75","32,330.15","342.86M","-3.48%"
"Apr 01, 2021","33,858.00","33,588.00","33,949.15","33,208.75","312.72M","1.66%"
"Mar 31, 2021","33,303.90","33,764.80","33,773.10","33,151.80","370.02M","-1.69%"
"Mar 30, 2021","33,875.10","33,615.90","33,990.80","33,564.55","374.23M","1.67%"
"Mar 26, 2021","33,318.20","33,605.05","33,610.65","33,166.10","291.66M","0.94%"
"Mar 25, 2021","33,006.45","33,420.75","33,550.15","32,415.25","486.19M","-0.86%"
"Mar 24, 2021","33,293.25","33,894.70","33,970.65","33,203.40","345.48M","-2.61%"
"Mar 23, 2021","34,184.40","33,747.95","34,360.05","33,622.00","365.20M","1.73%"
"Mar 22, 2021","33,603.45","34,088.40","34,148.90","33,389.15","298.86M","-1.63%"
"Mar 19, 2021","34,161.60","33,590.40","34,355.40","33,361.00","457.21M","0.90%"
"Mar 18, 2021","33,856.80","34,577.50","34,759.85","33,597.55","365.80M","-1.09%"
"Mar 17, 2021","34,229.25","34,905.05","35,100.50","34,126.85","294.34M","-1.65%"
"Mar 16, 2021","34,804.60","35,352.00","35,405.05","34,744.60","311.78M","-1.07%"
"Mar 15, 2021","35,182.55","35,544.25","35,544.25","34,430.65","353.01M","-0.88%"
"Mar 12, 2021","35,496.65","36,497.35","36,497.35","35,188.05","273.64M","-1.23%"
"Mar 10, 2021","35,938.30","36,112.25","36,176.90","35,764.35","210.56M","0.20%"
"Mar 09, 2021","35,865.65","35,705.90","36,077.80","35,544.95","276.56M","1.67%"
"Mar 08, 2021","35,275.75","35,462.45","35,827.30","35,090.75","300.22M","0.14%"
"Mar 05, 2021","35,228.15","35,458.50","35,616.05","34,893.25","479.02M","-1.60%"
"Mar 04, 2021","35,802.50","35,575.65","36,316.40","35,519.25","518.58M","-1.56%"
"Mar 03, 2021","36,368.05","35,754.45","36,455.15","35,570.55","526.96M","2.68%"
"Mar 02, 2021","35,419.70","35,458.15","35,747.05","35,002.45","313.57M","0.35%"
"Mar 01, 2021","35,296.00","35,374.25","35,581.10","34,983.75","321.45M","1.41%"
"Feb 26, 2021","34,803.60","35,806.65","35,902.90","34,658.70","583.01M","-4.78%"
"Feb 25, 2021","36,549.00","36,763.15","37,232.20","36,494.00","455.94M","0.27%"
"Feb 24, 2021","36,452.30","35,205.40","36,567.65","35,060.65","272.88M","3.80%"
"Feb 23, 2021","35,116.95","35,540.55","35,680.85","34,976.00","495.06M","-0.40%"
"Feb 22, 2021","35,257.20","35,874.30","36,128.90","35,097.55","558.74M","-1.63%"
"Feb 19, 2021","35,841.60","36,371.55","36,656.20","35,584.60","1.06B","-2.04%"
"Feb 18, 2021","36,587.00","37,088.75","37,108.75","36,367.45","860.33M","-0.88%"
"Feb 17, 2021","36,910.95","37,041.95","37,331.45","36,764.25","850.49M","-0.51%"
"Feb 16, 2021","37,098.40","37,492.60","37,708.75","36,762.75","498.42M","-0.56%"
"Feb 15, 2021","37,306.25","36,501.40","37,449.90","36,405.10","395.96M","3.32%"
"Feb 12, 2021","36,108.90","35,736.60","36,322.80","35,700.25","400.61M","1.00%"
"Feb 11, 2021","35,752.10","35,687.25","36,009.45","35,573.30","397.93M","-0.09%"
"Feb 10, 2021","35,783.10","36,042.35","36,227.20","35,428.15","454.61M","-0.76%"
"Feb 09, 2021","36,056.50","36,058.80","36,477.15","35,636.85","692.48M","0.20%"
"Feb 08, 2021","35,983.65","36,073.85","36,466.45","35,872.25","448.65M","0.92%"
"Feb 05, 2021","35,654.50","35,634.95","36,615.20","35,545.00","929.58M","0.88%"
"Feb 04, 2021","35,344.80","34,548.90","35,413.15","34,238.90","829.67M","1.69%"
"Feb 03, 2021","34,758.45","34,555.60","34,908.05","34,011.90","605.20M","1.43%"
"Feb 02, 2021","34,267.90","33,589.05","34,652.50","33,583.15","672.20M","3.56%"
"Feb 01, 2021","33,089.05","30,976.35","33,305.30","30,906.45","724.60M","8.26%"
"Jan 29, 2021","30,565.50","30,700.65","31,111.95","30,254.55","491.24M","0.68%"
"Jan 28, 2021","30,358.30","29,812.30","30,464.40","29,687.70","616.60M","0.24%"
"Jan 27, 2021","30,284.55","31,236.25","31,287.05","30,165.65","374.96M","-2.93%"
"Jan 25, 2021","31,198.40","31,507.15","31,697.55","31,013.65","354.69M","0.10%"
"Jan 22, 2021","31,167.25","32,088.00","32,131.40","31,119.90","447.19M","-3.17%"
"Jan 21, 2021","32,186.90","32,732.80","32,842.30","31,985.55","429.69M","-1.10%"
"Jan 20, 2021","32,543.70","32,388.95","32,607.45","32,322.90","463.37M","0.37%"
"Jan 19, 2021","32,424.85","32,082.90","32,464.95","31,863.95","354.80M","1.93%"
"Jan 18, 2021","31,811.75","32,275.15","32,441.50","31,650.90","396.84M","-1.35%"
"Jan 15, 2021","32,246.80","32,508.90","32,544.80","32,044.35","441.55M","-0.84%"
"Jan 14, 2021","32,519.75","32,526.70","32,718.95","32,442.35","418.77M","-0.17%"
"Jan 13, 2021","32,574.65","32,546.60","32,683.50","32,148.25","631.81M","0.73%"
"Jan 12, 2021","32,339.00","31,835.05","32,397.95","31,725.85","518.13M","1.06%"
"Jan 11, 2021","31,998.90","32,280.30","32,288.45","31,836.95","262.15M","-0.27%"
"Jan 08, 2021","32,084.20","32,298.05","32,298.05","32,002.95","320.08M","0.40%"
"Jan 07, 2021","31,956.00","32,129.80","32,177.40","31,911.50","503.48M","0.50%"
"Jan 06, 2021","31,797.90","31,839.95","31,982.30","31,548.15","546.15M","0.24%"
"Jan 05, 2021","31,722.25","31,041.10","31,767.65","30,935.55","427.04M","1.63%"
"Jan 04, 2021","31,212.45","31,485.15","31,489.60","30,893.65","455.78M","-0.04%"
"Jan 01, 2021","31,225.85","31,297.30","31,384.35","31,188.25","362.82M","-0.12%"
"Dec 31, 2020","31,264.05","31,295.90","31,409.50","31,088.10","364.12M","-0.12%"
"Dec 30, 2020","31,303.05","31,479.80","31,510.25","31,007.15","267.80M","-0.06%"
"Dec 29, 2020","31,322.50","31,006.90","31,359.35","31,002.60","389.22M","1.43%"
"Dec 28, 2020","30,880.95","30,558.85","30,929.05","30,538.15","317.21M","1.57%"
"Dec 24, 2020","30,402.20","30,071.65","30,545.85","30,007.80","300.01M","1.74%"
"Dec 23, 2020","29,883.30","29,560.75","29,941.40","29,446.00","379.38M","0.87%"
"Dec 22, 2020","29,625.95","29,607.50","29,711.15","28,976.75","464.42M","0.58%"
"Dec 21, 2020","29,456.45","30,595.80","30,607.50","29,201.20","390.94M","-4.10%"
"Dec 18, 2020","30,714.65","30,841.85","30,854.05","30,374.50","278.14M","-0.43%"
"Dec 17, 2020","30,847.05","30,791.20","30,945.20","30,643.90","260.66M","0.48%"
"Dec 16, 2020","30,698.40","30,920.35","30,932.25","30,587.10","380.59M","0.02%"
"Dec 15, 2020","30,691.05","30,805.40","30,805.85","30,345.75","279.37M","-0.18%"
"Dec 14, 2020","30,745.90","30,735.15","30,845.80","30,624.25","269.04M","0.46%"
"Dec 11, 2020","30,604.85","30,555.30","30,811.80","30,328.45","409.94M","0.31%"
"Dec 10, 2020","30,510.35","30,545.35","30,610.00","30,202.10","335.77M","-0.65%"
"Dec 09, 2020","30,709.40","30,335.05","30,807.25","30,326.70","542.52M","1.48%"
"Dec 08, 2020","30,261.90","30,300.30","30,363.80","30,025.20","586.85M","0.17%"
"Dec 07, 2020","30,211.55","30,062.60","30,354.20","29,950.60","431.76M","0.53%"
"Dec 04, 2020","30,052.40","29,573.40","30,162.30","29,473.50","466.91M","2.05%"
"Dec 03, 2020","29,448.75","29,728.90","29,813.00","29,379.40","419.24M","-0.05%"
"Dec 02, 2020","29,463.15","29,876.70","29,886.25","29,149.90","374.28M","-1.19%"
"Dec 01, 2020","29,817.85","29,844.80","29,919.75","29,511.00","325.61M","0.71%"
"Nov 27, 2020","29,609.05","29,622.00","29,716.85","29,368.70","494.40M","0.20%"
"Nov 26, 2020","29,549.75","29,370.40","29,623.00","28,923.10","369.37M","1.21%"
"Nov 25, 2020","29,196.40","30,021.90","30,197.85","29,132.30","546.08M","-1.82%"
"Nov 24, 2020","29,737.25","29,265.60","29,827.80","29,206.75","348.06M","2.46%"
"Nov 23, 2020","29,024.20","29,432.80","29,492.30","28,852.90","395.63M","-0.72%"
"Nov 20, 2020","29,236.00","28,935.75","29,406.70","28,580.90","320.01M","1.15%"
"Nov 19, 2020","28,903.05","29,302.60","29,627.20","28,819.55","358.60M","-2.85%"
"Nov 18, 2020","29,749.85","29,107.90","29,784.75","29,056.75","487.62M","1.95%"
"Nov 17, 2020","29,181.30","28,792.25","29,239.25","28,722.90","317.31M","2.05%"
"Nov 14, 2020","28,594.30","28,685.70","28,752.45","28,431.85","43.67M","0.45%"
"Nov 13, 2020","28,465.70","28,108.70","28,520.55","27,703.30","330.89M","0.66%"
"Nov 12, 2020","28,278.80","28,633.75","28,672.90","28,066.05","308.96M","-1.96%"
"Nov 11, 2020","28,845.00","28,713.15","29,030.90","28,211.10","497.51M","0.84%"
"Nov 10, 2020","28,606.00","28,039.45","28,802.50","27,916.90","595.80M","3.89%"
"Nov 09, 2020","27,534.10","27,088.95","27,595.00","27,068.95","365.12M","2.74%"
"Nov 06, 2020","26,798.95","26,274.10","26,853.45","26,135.30","357.69M","1.85%"
"Nov 05, 2020","26,313.10","26,174.80","26,375.20","26,000.05","385.31M","2.10%"
"Nov 04, 2020","25,771.60","25,539.55","25,891.00","25,142.00","409.25M","0.35%"
"Nov 03, 2020","25,682.80","25,108.00","25,760.70","25,085.70","407.59M","3.17%"
"Nov 02, 2020","24,892.50","24,367.60","25,139.00","24,120.60","437.22M","4.15%"
"Oct 30, 2020","23,900.90","24,090.15","24,277.35","23,612.70","271.82M","-0.79%"
